"Repentigny, Canada","45.74043,-73.44606"
"Richmond, Canada","49.166592,-123.133568"
"Richmond Hill, Canada","43.87587,-79.43827"
"Saguenay, Canada","48.42143,-71.06796"
"Saint John, Canada","45.273315,-66.063309"
"Saint-Hyacinthe, Canada","45.626450,-72.947517"
"Saint-Jean-sur-Richelieu, Canada","45.30848,-73.25213"
"Saint-Jerome, Canada","45.77768,-74.00402"
"Saint-Laurent, Canada","46.55576,-72.1171"
"Saint-Leonard, Canada","46.10565,-72.37365"
"Sarnia, Canada","42.97456,-82.40654"
"Saskatoon, Canada","52.131592,-106.660599"
"Sault Ste. Marie, Canada","46.51129,-84.33516"
"Scarborough, Canada","43.776424,-79.231750"
"Sherbrooke, Canada","45.404171,-71.892914"
"Sherwood Park, Canada","53.541206,-113.295738"
"St. Albert, Canada","53.63702,-113.62007"
"St. Catharines, Canada","43.15999,-79.24702"
"St. John's, Canada","43.258251,-81.134178"
"Surrey, Canada","49.191345,-122.849014"
"Sydney, Canada","46.13809,-60.19467"
"Terrebonne, Canada","45.702259,-73.634628"
"Thunder Bay, Canada","48.380894,-89.247681"
"Toronto, Canada","43.653225,-79.383186"
"Trois-Rivieres, Canada","46.343460,-72.543602"
"Vancouver, Canada","49.282730,-123.120735"
"Vaughan, Canada","43.850441,-79.511368"
"Victoria, Canada","48.428421,-123.365646"
"Waterloo, Canada","43.464951,-80.523911"
"Welland, Canada","42.99351,-79.22818"
"White Rock, Canada","49.02388,-122.80118"
"Willowdale, Canada","45.39348,-62.20662"
"Windsor, Canada","42.314079,-83.036858"
"Winnipeg, Canada","49.895138,-97.138374"
"Mindelo, Cape Verde","16.897030,-24.990490"
"Praia, Cape Verde","14.916700,-23.507500"
"Bangui, Central African Republic","4.36263,18.58198"
"Berberati, Central African Republic","4.25514,15.78493"
"Bimbo, Central African Republic","4.30654,18.54062"
"Kaga Bandoro, Central African Republic","6.990580,19.186640"
"Mbaiki, Central African Republic","3.873160,17.984970"
"Abeche, Chad","13.82798,20.83443"
"Moundou, Chad","8.583310,16.084370"
"N'Djamena, Chad","12.11218,15.06897"
"Sarh, Chad","9.145630,18.389090"
"Arica, Chile","-18.478252,-70.312599"
"Buin, Chile","-33.73216,-70.74048"
"Calama, Chile","-22.451300,-68.923798"
"Chiguayante, Chile","-36.92092,-73.02796"
"Chillan, Chile","-36.605572,-72.107979"
"Concepcion, Chile","-36.817371,-73.063629"
"Copiapo, Chile","-27.364830,-70.322990"
"Coquimbo, Chile","-29.959002,-71.338921"
"Coronel, Chile","-37.02928,-73.14446"
"Curico, Chile","-34.98185,-71.23846"
"Iquique, Chile","-20.209770,-70.129570"
"La Pintana, Chile","-33.56718,-70.65833"
"La Serena, Chile","-29.902670,-71.251938"
"Linares, Chile","-35.84607,-71.59891"
"Lo Prado, Chile","-33.445782,-70.739471"
"Los Andes, Chile","-32.83787,-70.59988"
"Los Angeles, Chile","-37.462917,-72.361221"
"Melipilla, Chile","-33.6858,-71.216"
"Osorno, Chile","-40.574181,-73.131172"
"Ovalle, Chile","-30.59922,-71.20029"
"Penaflor, Chile","-33.60468,-70.8767"
"Puente Alto, Chile","-33.60667,-70.57736"
"Puerto Montt, Chile","-41.471760,-72.939667"
"Punta Arenas, Chile","-53.161968,-70.909561"
"Quillota, Chile","-32.880100,-71.247398"
"Quilpue, Chile","-33.04769,-71.4419"
"Rancagua, Chile","-34.167702,-70.738297"
"San Antonio, Chile","-33.588650,-71.608994"
"San Bernardo, Chile","-34.58658,-70.98791"
"San Felipe, Chile","-32.750000,-70.720810"
"Talagante, Chile","-33.66387,-70.93078"
"Talca, Chile","-35.426472,-71.666069"
"Talcahuano, Chile","-36.723598,-73.112396"
"Temuco, Chile","-38.739922,-72.590157"
"Valdivia, Chile","-39.825390,-73.231522"
"Valparaiso, Chile","-33.045559,-71.619423"
"Villa Alemana, Chile","-33.04426,-71.37337"
"Vina del Mar, Chile","-33.02463,-71.55181"
"Altay, China","47.84073,88.12156"
"Anqing, China","30.49996,117.05"
"Ankang, China","32.67998,109.02"
"Anjiang, China","25.46053,119.10833"
"Anqiu, China","36.42686,119.19586"
"Anshan, China","41.116970,122.938080"
"Anshun, China","26.25234,105.92806"
"Acheng, China","45.54265,126.99251"
"Aral, China","38.14647,90.63255"
"Anda, China","46.4,125.32004"
"Anxiang, China","29.41214,112.15083"
"Anbu, China","23.46039,116.68151"
"Anyang, China","36.081928,114.348068"
"Aksu, China","41.17194,80.25549"
"Babu, China","24.65633,109.22835"
"Baihe, China","32.80505,110.09814"
"Baijiantan, China","25.70628,-99.23968"
"Baiquan, China","47.60184,126.08185"
"Baise City, China","32.80505,110.09814"
"Baishan, China","33.77431,116.65281"
"Baishishan, China","25.70628,-99.23968"
"Baiyin, China","36.55024,104.20549"
"Bamiantong, China","44.9248,130.54195"
"Baoding, China","38.87238,115.47808"
"Baoqing, China","46.32725,132.20036"
"Baoshan, China","25.11511,99.16129"
"Baotou, China","40.654148,109.820068"
"Bayan, China","46.07516,127.40444"
"Bei'an, China","22.82449,120.50121"
"Beibei, China","25.70628,-99.23968"
"Beichengqu, China","25.70628,-99.23968"
"Beidaihehaibin, China","39.81623,119.47481"
"Beidao, China","33.57387,-7.66484"
"Beihai, China","21.48041,109.10005"
"Beijing, China","39.904202,116.407394"
"Beipiao, China","41.81002,120.76001"
"Bengbu, China","32.95194,117.32809"
"Benxi, China","41.2899,123.76535"
"Bianzhuang, China","34.84847,118.04624"
"Bijie, China","25.70628,-99.23968"
"Binhe, China","47.90789,125.81261"
